	SRS1267685.SRR3131402	SRS1267687.SRR3131440	SRS1267690.SRR3131445	SRS1267691.SRR3131437	SRS1267693.SRR3131393	SRS1267698.SRR3131452	SRS1267699.SRR3131480	SRS1267700.SRR3131450	SRS1267701.SRR3131481	SRS1267702.SRR3131401	SRS1267704.SRR3131428	SRS1267705.SRR3131424	SRS1267706.SRR3131482	SRS1267708.SRR3131507	SRS1267709.SRR3131506	SRS1267710.SRR3131505	SRS1267711.SRR3131504	SRS1267712.SRR3131503	SRS1267713.SRR3131502	SRS1267714.SRR3131501	SRS1267715.SRR3131500	SRS1267717.SRR3131498	SRS1267718.SRR3131497	SRS1267719.SRR3131496	SRS1267721.SRR3131493	SRS1267722.SRR3131492	SRS1267723.SRR3131491	SRS1267725.SRR3131489	SRS1267726.SRR3131488	SRS1267727.SRR3131486	SRS1267728.SRR3131485	SRS1267729.SRR3131484	SRS1267730.SRR3131483	SRS1267731.SRR3131479	SRS1267732.SRR3131477	SRS1267733.SRR3131476	SRS1267734.SRR3131475	SRS1267735.SRR3131474	SRS1267736.SRR3131473	SRS1267737.SRR3131487	SRS1267739.SRR3131470	SRS1267740.SRR3131471	SRS1267741.SRR3131469	SRS1267742.SRR3131468	SRS1267743.SRR3131467	SRS1267744.SRR3131465	SRS1267745.SRR3131466	SRS1267746.SRR3131464	SRS1267748.SRR3131462	SRS1267750.SRR3131460	SRS1267752.SRR3131458	SRS1267753.SRR3131457	SRS1267754.SRR3131456	SRS1267755.SRR3131455	SRS1267756.SRR3131454	SRS1267757.SRR3131453	SRS1267758.SRR3131451	SRS1267761.SRR3131447	SRS1267762.SRR3131446	SRS1267763.SRR3131444	SRS1267764.SRR3131443	SRS1267765.SRR3131442	SRS1267766.SRR3131441	SRS1267768.SRR3131439	SRS1267769.SRR3131436	SRS1267770.SRR3131435	SRS1267771.SRR3131434	SRS1267772.SRR3131433	SRS1267773.SRR3131432	SRS1267774.SRR3131431	SRS1267781.SRR3131388	SRS1267785.SRR3131409	SRS1267791.SRR3131405	SRS1267794.SRR3131425	SRS1267820.SRR3131396	SRS1267826.SRR3131414	SRS1267829.SRR3131390	SRS1267833.SRR3131412	SRS1267838.SRR3131418	SRS1267845.SRR3131398	SRS1267850.SRR3131426	SRS1267869.SRR3131407	SRS1267878.SRR3131416	SRS1267895.SRR3131404	SRS1267904.SRR3131421	SRS1267924.SRR3131389	SRS1267929.SRR3131385	SRS1267942.SRR3131397	SRS1267948.SRR3131392	SRS1267960.SRR3131410	SRS1267961.SRR3131427	SRS1267963.SRR3131400	SRS1267971.SRR3131387	SRS1267981.SRR3131420	SRS1267983.SRR3131408	SRS1267989.SRR3131423	SRS1267997.SRR3131413	SRS1268017.SRR3131386	SRS1268029.SRR3131399	SRS1268048.SRR3131406	SRS1268071.SRR3131415	SRS1268078.SRR3131422	SRS1268103.SRR3131394
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales		50										4	40	346																																		83																												20																									22		
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae		505	2974	6377	2081		1254	991	180	180	1466	407	292	370	841			1288	353	6341		213	272	176	394		1079		344	715	680		207	2085	845	6348	3032				774		564			29	749	549	558	538			616	834	329			1097	709	11	391			1005		803	6		7026	103	4306		1748		717	965			123	1039		751	269	1034	985		276					619				1406	760	317	1160	799	429	298	
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Atlantibacter								7																																																																																															
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter				319							749																									154																			1843											4694					400				2370													3		145													
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter																																																																																																							
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	599	767		244					170	468	9	795				2623	4011		803					3868	507			36			1054	4441														2470	333	21							12	5687				36					1379			955	210	2410							1550		2955		5090		892			3728			3668	219	2846	3311	2026	3554		91			146		1292	1024	
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella		2078	4041		2567		7392	5866	1156	147	4496	2453	805	2150	4698			4567				1344	1691		453		6073		2013	4305	3858		1157		4786		4014			36	4823	3	1730				4464		3054	1707			3627	4865		926	3	6529	2642		2497		78	5427	172								2337		1917	1852				6330		4451		5971	5753		1805					636				1093	4696	583	5552	3097	2092	336	
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae																																																																																																							
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Pluralibacter																																							2896					3213	2436																	3213						290																											130								3615
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Raoultella						5122																																																																					34																												
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Cosenzaea																																																																																																							
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella																																																																																										11													
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus											84																										13																																				1216		59																												
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia																			23					12																								569																				3180															78												3112								
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia																																																																																																							
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Conservatibacter																							12			2																																	2			4																																						9			
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus																		571					375		20	2551													52					224	155					2672							2009		437			179												2425														1983								331				267			215
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter																	11				44																																																																																		
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii																																																																																																							
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas																					5																																														43	964													29														2565								
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas																																																																			57																	210																			
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia																							2																																												112																	554																			
